name,version,type,licenses,supplier,properties
winapi-util,0.1.5,library,"Unlicense, MIT",Organization: crates,"BlackDuck-Component: 9a091ad5-98ba-445c-b133-9ea878c4b870, BlackDuck-ComponentVersion: 0113c46e-c874-4a49-8a23-3361d30c01ee, BlackDuck-ComponentOrigin: 9d959ab9-aedc-45c0-ad69-2d4d9d8843f5"
winapi-x86_64-pc-windows-gnu,0.4.0,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: 0b342883-a346-48d5-9c9c-feb5643a6614, BlackDuck-ComponentVersion: 7b00e629-4d88-444e-99a6-cc4016a13a4a, BlackDuck-ComponentOrigin: 4fa36d9b-8def-4757-a7b8-8c557c7b1ceb"
windows_aarch64_gnullvm,0.42.0,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: 80c7798f-4120-4c41-aa51-f3854ebbaecf, BlackDuck-ComponentVersion: b77c537b-a0eb-4f64-bc96-66f1183403cf, BlackDuck-ComponentOrigin: c4e5a119-068b-4b6d-8710-9b8e59419358"
windows_aarch64_msvc,0.34.0,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: baa11100-c56c-4e88-90ef-9671a4c3da66, BlackDuck-ComponentVersion: 397c8984-6738-439c-ab86-ecedb1662eb2, BlackDuck-ComponentOrigin: f1b727e2-20d7-4183-848b-5887fd3d4dcc"
windows_aarch64_msvc,0.36.1,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: baa11100-c56c-4e88-90ef-9671a4c3da66, BlackDuck-ComponentVersion: 49e7c622-169d-4819-921d-aaf01f78797b, BlackDuck-ComponentOrigin: fcc7f4e1-85f6-4e73-92ce-cd89e9442a90"
windows_aarch64_msvc,0.42.0,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: baa11100-c56c-4e88-90ef-9671a4c3da66, BlackDuck-ComponentVersion: fa5afe77-9879-45e2-88e1-8e5a9cc0642b, BlackDuck-ComponentOrigin: b8ae139b-db2d-4b9f-ab88-ee69e65cf2da"
windows_i686_gnu,0.34.0,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: 666e3b7e-a2a0-44f5-be87-9f4b825f898f, BlackDuck-ComponentVersion: b444f0e5-2a66-45aa-bd1e-c4c63807a19f, BlackDuck-ComponentOrigin: 399fda94-2998-4fcc-b6b1-a73fe8fa1a74"
windows_i686_gnu,0.36.1,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: 666e3b7e-a2a0-44f5-be87-9f4b825f898f, BlackDuck-ComponentVersion: 00adcfdc-8aac-4c50-ba33-5e5a83624b93, BlackDuck-ComponentOrigin: 4003c5de-ff11-4ca0-9853-f367021939e4"
windows_i686_gnu,0.42.0,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: 666e3b7e-a2a0-44f5-be87-9f4b825f898f, BlackDuck-ComponentVersion: aa2589cc-ef50-41fc-96e2-53642132dc9c, BlackDuck-ComponentOrigin: bb0f481d-ce52-4d91-bca4-9d1afeb73507"
windows_i686_msvc,0.34.0,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: 727e5ee4-4bce-4d41-9f96-a66817877b05, BlackDuck-ComponentVersion: a05e8abe-a7aa-4084-a7b7-4d5a35d863db, BlackDuck-ComponentOrigin: 72f00932-f7f1-4465-8ed3-18c968f51e90"
